vehicle_id,global_time,date_time,latitude,longitude,lane_id,location
3,1118847864800,2005-06-15 08:04:24,34.13940642875617,-118.36523013317698,3,us-101
2838,1118847864800,2005-06-15 08:04:24,34.13586415798798,-118.36047904424638,3,us-101
2849,1118847864800,2005-06-15 08:04:24,34.136392519353365,-118.36121621034023,3,us-101
2854,1118847864800,2005-06-15 08:04:24,34.136535070085486,-118.36140881262514,3,us-101
2860,1118847864800,2005-06-15 08:04:24,34.13679880030628,-118.36177198710337,3,us-101
2864,1118847864800,2005-06-15 08:04:24,34.136895111140596,-118.36191147033135,3,us-101
2872,1118847864800,2005-06-15 08:04:24,34.13720005396885,-118.36233197084765,3,us-101
2878,1118847864800,2005-06-15 08:04:24,34.137471181518634,-118.36270704371809,3,us-101
2879,1118847864800,2005-06-15 08:04:24,34.13734521349439,-118.36253188162551,3,us-101
2891,1118847864800,2005-06-15 08:04:24,34.1376688675042,-118.36298342619949,3,us-101
2901,1118847864800,2005-06-15 08:04:24,34.13779496946512,-118.36315220557934,3,us-101
2912,1118847864800,2005-06-15 08:04:24,34.137955589664365,-118.36337416924742,3,us-101
2922,1118847864800,2005-06-15 08:04:24,34.138118942285125,-118.36360662155752,3,us-101
2931,1118847864800,2005-06-15 08:04:24,34.13827193952877,-118.36381472027828,3,us-101
2940,1118847864800,2005-06-15 08:04:24,34.138363056197484,-118.363950907438,3,us-101
2945,1118847864800,2005-06-15 08:04:24,34.13846697554146,-118.36408056767506,3,us-101
2950,1118847864800,2005-06-15 08:04:24,34.1385700695929,-118.36421961003887,3,us-101
2962,1118847864800,2005-06-15 08:04:24,34.138689717378604,-118.36438853020859,3,us-101
2974,1118847864800,2005-06-15 08:04:24,34.138769339977856,-118.36447426816704,3,us-101
2979,1118847864800,2005-06-15 08:04:24,34.13885600968574,-118.36459501428646,3,us-101
2988,1118847864800,2005-06-15 08:04:24,34.13893799540443,-118.36469894225971,3,us-101
3004,1118847864800,2005-06-15 08:04:24,34.1390833359288,-118.3648649125318,3,us-101
3008,1118847864800,2005-06-15 08:04:24,34.139171657864736,-118.36497891183373,3,us-101
3019,1118847864800,2005-06-15 08:04:24,34.139243202992944,-118.36504860738421,3,us-101
3021,1118847864800,2005-06-15 08:04:24,34.13930096312789,-118.36511972666544,3,us-101
3030,1118847864800,2005-06-15 08:04:24,34.13940088504459,-118.3652269000381,3,us-101
